onset_idx,offset_idx,onset_time,offset_time,amplitude,duration
5744,5745,23.045891,23.045891,33.526682312749045,0.0
5748,5754,23.062873,23.085884,0.6044571945142186,0.023011000000000337
5758,5776,23.105345,23.175808,1.2166577168620596,0.07046300000000016
5778,5782,23.185828,23.195823,33.481559103482624,0.009994999999999976
5784,5786,23.205786,23.215775,33.51943913611921,0.009989000000000914
5788,5794,23.225788,23.245785,9.86585325909523,0.019997000000000043
5798,5806,23.2648,23.295738,0.857974941359012,0.030937999999999022
5809,5826,23.305728,23.375701,37.49640649448958,0.06997300000000095
5830,5864,23.390803,23.525611,9.800480568829265,0.13480800000000315
5866,5880,23.535596,23.585586,33.68685734837846,0.049989999999997536
5882,5895,23.595582,23.645543,40.47416955960925,0.0499609999999997
5897,5901,23.655528,23.675515,4.927181065274545,0.01998700000000042
5903,5904,23.681512,23.685507,9.81659966587209,0.003994999999999749
5906,5911,23.695496,23.715482,0.5964175131566812,0.019986000000002946
5913,5925,23.723748,23.765475,0.45936477879785254,0.04172699999999807
5927,5930,23.775459,23.78545,0.40726803213608603,0.009990999999999417
5933,5939,23.797585,23.825449,9.85436213054909,0.027863999999997446
5941,5946,23.83544,23.855422,0.38984644412896724,0.019982000000002387
5948,5953,23.855597,23.875409,9.847972786314958,0.019812000000001717
5956,5956,23.89494,23.89494,0.0,0.0
5959,5980,23.905381,23.985345,16.979663075573672,0.07996400000000037
5982,5985,23.99534,24.005331,40.17809006560665,0.00999100000000297
5987,5994,24.01532,24.0453,4.660761364841586,0.029980000000001894
5997,6017,24.055285,24.135253,4.95003850995121,0.07996799999999737
6020,6023,24.145244,24.155235,0.4283656615556387,0.009990999999999417
6025,6033,24.165231,24.195204,0.5621489126557127,0.029973000000001804
6036,6057,24.212722,24.295148,9.85436213054909,0.08242600000000166
6060,6072,24.305138,24.35513,0.322490309931942,0.04999199999999959
6074,6085,24.365125,24.40509,33.81394301423601,0.03996500000000225
6088,6097,24.415326,24.455074,9.868275077236143,0.03974799999999945
6101,6107,24.47331,24.495042,9.868275077236143,0.021732000000000085
6109,6112,24.505032,24.515028,20.132310473465285,0.009996000000001004
6115,6116,24.525022,24.53501,30.175065865711048,0.009987999999999886
6118,6120,24.536019,24.545001,0.9026632816283158,0.008981999999999601
6122,6139,24.554993,24.624964,36.6007281348336,0.0699709999999989
6142,6150,24.63496,24.664933,4.920737754646146,0.029973000000001804
6152,6160,24.674924,24.704895,0.7124960771821836,0.029970999999999748
6163,6171,24.717651,24.744895,1.2643535660565837,0.027243999999999602
6173,6176,24.754887,24.764882,37.01167492832498,0.009994999999999976
6179,6187,24.781659,24.814867,0.7068245892723315,0.03320799999999835
6189,6196,24.821392,24.844846,9.861318573091532,0.023454000000000974
6199,6221,24.860016,24.944759,9.865852421357214,0.08474299999999957
6225,6225,24.964777,24.964777,0.0,0.0
6229,6232,24.984378,24.994749,0.32923889502912623,0.010370999999999242
6234,6250,25.004741,25.064689,63.28199571955676,0.05994800000000211
6252,6255,25.074681,25.084678,52.80021685561528,0.00999699999999848
6259,6267,25.101705,25.134663,1.421724305201258,0.03295800000000071
6269,6273,25.144445,25.154644,0.6243748873873772,0.010199000000000069
6275,6287,25.16464,25.214594,33.721335975907,0.04995400000000316
6290,6305,25.224615,25.284573,1.0356427183155394,0.05995800000000173
6307,6312,25.294558,25.314543,84.120304920988,0.019985000000001918
6315,6317,25.324536,25.334527,0.9189899346565228,0.00999100000000297
6319,6323,25.344546,25.354539,35.038871271774724,0.00999299999999792
6328,6331,25.37452,25.384516,34.50859490909475,0.009996000000001004
6333,6340,25.394507,25.424479,4.987101756531543,0.029972000000000776
6343,6352,25.434475,25.474469,4.934137538618072,0.039994000000000085
6354,6360,25.477741,25.504442,9.931489316311024,0.026700999999999198
6364,6367,25.518959,25.53442,0.7860025445251434,0.015461000000001945
6369,6382,25.540365,25.594401,0.7326179085990187,0.05403599999999997
6384,6400,25.603623,25.664341,9.873896544424596,0.06071800000000138
