subject_id,trial_type,eeg_alpha,eeg_beta,eeg_theta,gsr_mean,ppg_mean,blink_rate,cognitive_load
sub-03,Stimulus/S 12,5.848412857457802e-12,3.2314964355055715e-12,1.595804705964929e-11,0.5769028391906006,2716.481334695623,8.5,0
sub-03,Stimulus/S 12,2.125361401230772e-11,3.954811559819705e-12,1.1286391344679775e-10,0.5761213136952807,2716.8572198747192,18.25,0
sub-03,Stimulus/S 12,9.82738786029623e-12,3.383160509723369e-12,3.1024605083389967e-11,0.5823412110763203,2716.1299494462323,18.0,0
sub-03,Stimulus/S 12,7.970214956059725e-12,3.403175119187804e-12,2.1360276834106136e-11,0.581407576791944,2715.839730936407,10.75,0
sub-03,Stimulus/S 12,1.83299800732404e-11,5.182969430045349e-12,1.3492934638678983e-10,0.5762866514082463,2715.031431888122,19.0,0
sub-03,Stimulus/S 12,9.100703190652594e-12,3.652698447593426e-12,4.5363332136791824e-11,0.574191121332826,2717.629735925394,15.25,0
sub-03,Stimulus/S 12,9.799863520140315e-12,3.957560473826705e-12,1.525671190777623e-11,0.578185207573839,2716.4141290849166,15.5,0
sub-03,Stimulus/S 12,1.0585452318492032e-11,3.768201559215033e-12,2.1749702294000668e-11,0.5799384183866982,2721.1923317510464,19.0,0
sub-03,Stimulus/S 12,8.035427707817145e-12,3.9324598117720236e-12,2.0439236573777707e-11,0.5760558662757788,2715.858174421239,12.25,0
sub-03,Stimulus/S 12,1.0137130420080931e-10,1.2425962037398384e-11,3.2949647431563363e-10,0.570385997160111,2712.1760407066204,10.0,0
sub-03,Stimulus/S 12,1.0866877778391085e-11,4.214601003030465e-12,3.0411020565780484e-11,0.5670519239811324,2716.9953475010157,19.75,0
sub-03,Stimulus/S 12,7.130022389645795e-11,1.0649095125460688e-11,4.923490049426095e-10,0.5646821022987127,2722.404278373766,18.75,0
sub-03,Stimulus/S 12,1.6321421026334294e-11,5.524866247619367e-12,3.043520337447263e-11,0.562048303994558,2714.7794210627035,19.0,0
sub-03,Stimulus/S 12,1.2760313870559783e-11,4.187480760583518e-12,2.827615711279464e-11,0.5597550461990063,2712.7200969288933,0.0,0
sub-03,Stimulus/S 12,2.3010352335657135e-11,5.62795047330067e-12,3.63533206189569e-11,0.556946459247958,2717.856218318467,12.25,0
sub-03,Stimulus/S 12,1.263049496291406e-11,4.3621889394266254e-12,3.4916725237831716e-11,0.5542834023778601,2718.2651968843725,12.75,0
sub-03,Stimulus/S 12,1.035930452345273e-10,4.3107073932745264e-11,1.5833623549262087e-10,0.5504193052116915,2715.9638378979475,17.25,0
sub-03,Stimulus/S 12,2.4581012338537553e-11,8.13462060485472e-12,4.5355869350952596e-11,0.548669145393896,2712.6176104899555,20.5,0
sub-03,Stimulus/S 12,2.8360823047011188e-11,7.478673114167815e-12,6.106499117676274e-11,0.5479985432337594,2715.81970430244,20.25,0
sub-03,Stimulus/S 12,9.0875409013566e-11,2.1170428176572676e-11,1.4105022609924025e-10,0.5473494708493363,2717.2969228396028,19.75,0
sub-03,Stimulus/S 12,3.0139912100003486e-11,1.1395891176993129e-11,2.022600414508024e-10,0.5476186675329382,2703.9002453000035,15.25,0
sub-03,Stimulus/S 12,4.184974630103683e-11,1.4077573880946145e-11,1.6509186520589544e-10,0.5699962027458452,2722.0224547378784,11.75,0
sub-03,Stimulus/S 12,3.3562994260141854e-11,7.758224811580776e-12,4.4549074408667306e-10,0.5636647265424015,2708.880787029805,18.25,0
sub-03,Stimulus/S 12,1.3199628048868718e-11,4.832538919000071e-12,8.349424543102399e-11,0.5597142748938773,2702.586215067327,18.25,0
sub-03,Stimulus/S 12,3.602536157686541e-11,6.457854637950128e-12,5.500439910600634e-11,0.558284284829557,2718.0011997977067,15.0,0
sub-03,Stimulus/S 12,1.0180723263081254e-10,2.1627922407854862e-11,9.409342321923884e-10,0.567737346111432,2717.0539806942797,19.0,0
sub-03,Stimulus/S 13,1.1983965245500094e-11,6.413437325562053e-12,5.6236874500757827e-11,0.5692267114000004,2715.765551532039,16.75,0
sub-03,Stimulus/S 13,1.0410852896983582e-11,6.054032065175e-12,4.824338680650894e-11,0.5691370675635916,2715.1026476779243,17.0,0
sub-03,Stimulus/S 13,5.2547797887197403e-11,1.4370869292299582e-11,1.6469350093816463e-10,0.5689797029588199,2715.731071480177,18.25,0
sub-03,Stimulus/S 13,9.097350406713138e-11,1.5194400633445593e-11,3.587621811741714e-10,0.5687285560096869,2714.95485576848,19.75,0
