subject,blink_rate,alpha_power
sub-04,27.002700270026978,6.144809894835341e-06
sub-04,27.0040506075912,7.065967869411933e-06
sub-04,27.00405060759112,6.503211634056236e-06
sub-04,24.003600540080996,8.263691441905629e-06
sub-04,27.00540108021607,6.475380911525179e-06
sub-04,21.002100210021013,6.257685860033169e-06
sub-04,21.002100210020956,6.558152606030459e-06
sub-04,21.003150472570933,7.447211323128346e-06
sub-04,33.00495074261137,7.718268647917347e-06
sub-04,24.003600540080996,6.013398091054063e-06
sub-04,21.002100210021013,7.050524657839861e-06
sub-04,18.002700405060747,8.560816542298399e-06
sub-04,24.003600540081067,5.613874152738845e-06
sub-04,24.003600540080924,6.779079952458668e-06
sub-04,27.002700270027095,7.530602005006327e-06
sub-04,21.00315047257081,6.111334979243114e-06
sub-04,21.003150472570933,6.517370437695187e-06
sub-04,27.0040506075912,6.819415202306235e-06
sub-04,18.002700405060693,6.542243674076088e-06
sub-04,33.00330033003311,6.127543638927298e-06
sub-04,15.003000600120039,7.22825480212263e-06
sub-04,36.00360036003592,6.537692322244147e-06
sub-04,15.002250337550665,5.611645130733332e-06
sub-04,25.7179597085297,6.748317868352331e-06
sub-04,60.0,4.5217221025428255e-06
sub-04,0.0,4.6828728324287564e-06
sub-04,0.0,4.010244599927714e-06
sub-04,26.089225150013064,5.839871713587999e-06
sub-04,0.0,8.37358220603727e-06
sub-04,0.0,5.753463292216902e-06
sub-04,0.0,6.321197482562456e-06
sub-04,0.0,1.0491043490473675e-05
sub-04,0.0,1.2106568899058176e-05
sub-04,9.008558130223715,6.615439940573456e-06
sub-04,27.0040506075912,8.691301275913383e-06
sub-04,12.001200120011974,1.1522570171309388e-05
sub-04,15.002250337550665,6.927608064427931e-06
sub-04,9.0013502025304,7.893765018976404e-06
sub-04,18.00180018001796,6.597391987738221e-06
sub-04,36.0054008101216,7.97055691034597e-06
sub-04,24.00240024002395,7.724802408724083e-06
sub-04,9.0013502025304,1.0236791721290636e-05
sub-04,9.001350202530347,7.72035538842186e-06
sub-04,15.002250337550578,8.455286250373141e-06
sub-04,12.0018002700406,7.909167156605277e-06
sub-04,21.002100210020956,8.232344825096845e-06
sub-04,6.000900135020231,6.390634224919473e-06
sub-04,17.145306472353322,6.135643617230449e-06
sub-04,0.0,6.687233588597447e-06
sub-04,60.0,4.593372312180179e-06
sub-04,60.0,4.245107571099888e-06
sub-05,4.762723748792781,3.0858281453532022e-06
sub-05,0.0,3.0984801296674157e-06
sub-05,0.0,2.6503588980327127e-06
sub-05,0.0,3.194749586880361e-06
sub-05,0.0,3.5871337831963e-06
sub-05,3.0006001200240036,3.093179002260185e-06
sub-05,0.0,3.120835902489897e-06
sub-05,3.0004500675101244,2.9664662326455024e-06
sub-05,3.0004500675101284,3.009723956772919e-06
sub-05,3.0004500675101244,3.136653942441358e-06
sub-05,0.0,2.8234871322610577e-06
sub-05,0.0,2.7480228465400215e-06
sub-05,0.0,3.0123733151776927e-06
